trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-80.35759040683482,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-215.77276939289766,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-45.79492281528547,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-38.894697997216774,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-85.58252095679563,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-102.51344420925074,"{0: 25, 1: 4, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-69.15214958376346,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,15,-3.148457164980476,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,7,-41.147789082926764,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-46.20992512357543,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-54.254789645472066,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,7,-51.55761607873659,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-51.61488502713315,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-4.761411169753866,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-41.88436725494849,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,14,10.319981439948503,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,13,-0.2912781857958908,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,6,23.62230939223801,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-92.03300354368714,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,16,-18.962379556124134,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,19,0.26212963663944144,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,11,7.349564165761474,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,22,-29.05088618997196,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",30,8,10.673535658754313,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,-20.170685979532138,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,3,19.632521364864523,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,11,-19.274063741978807,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,11,23.085557337161433,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,16,15.18051476420333,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,6,24.084631860498224,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
