trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.975, 'e': 0.975}",25,0,-140.84552150886228,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
2,False,"{'a': 0.95, 'e': 0.95}",30,0,-88.62716538591717,"{0: 18, 1: 2, 2: 10, 3: 0, 4: 0}",0
3,False,"{'a': 0.9249999999999999, 'e': 0.9249999999999999}",25,15,-5.506759531436821,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.8999999999999999, 'e': 0.8999999999999999}",20,0,-113.99830276954174,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.8749999999999999, 'e': 0.8749999999999999}",20,0,-125.35046893266818,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.8499999999999999, 'e': 0.8499999999999999}",20,0,-126.92651003936523,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.8249999999999998, 'e': 0.8249999999999998}",35,0,-104.56851009783041,"{0: 24, 1: 4, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.7999999999999998, 'e': 0.7999999999999998}",25,0,-110.83585401776467,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.7749999999999998, 'e': 0.7749999999999998}",25,0,-134.06882903235876,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
10,False,"{'a': 0.7499999999999998, 'e': 0.7499999999999998}",20,0,-83.99157872064787,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.7249999999999998, 'e': 0.7249999999999998}",25,0,-146.88422308478115,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.6999999999999997, 'e': 0.6999999999999997}",25,5,-23.22656437213855,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.6749999999999997, 'e': 0.6749999999999997}",25,0,-47.841510375838375,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.6499999999999997, 'e': 0.6499999999999997}",20,0,-77.59204570084258,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.6249999999999997, 'e': 0.6249999999999997}",20,4,9.247249605914106,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5999999999999996, 'e': 0.5999999999999996}",20,13,-20.34183294536691,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5749999999999996, 'e': 0.5749999999999996}",25,0,6.949971439210366,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5499999999999996, 'e': 0.5499999999999996}",25,7,-30.49821638520488,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
19,False,"{'a': 0.5249999999999996, 'e': 0.5249999999999996}",20,0,-99.72312748802355,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.49999999999999956, 'e': 0.49999999999999956}",25,13,-2.5961619567962573,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.47499999999999953, 'e': 0.47499999999999953}",25,13,-27.662970227694114,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 0.4499999999999995, 'e': 0.4499999999999995}",30,11,-14.411444499380023,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
23,False,"{'a': 0.4249999999999995, 'e': 0.4249999999999995}",30,8,-48.92128172136081,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
24,False,"{'a': 0.39999999999999947, 'e': 0.39999999999999947}",30,4,-65.20314217537471,"{0: 19, 1: 0, 2: 5, 3: 2, 4: 0}",1
25,False,"{'a': 0.37499999999999944, 'e': 0.37499999999999944}",30,14,19.654709295916042,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.3499999999999994, 'e': 0.3499999999999994}",25,0,-23.819553812277114,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.3249999999999994, 'e': 0.3249999999999994}",30,21,17.74283893156302,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.2999999999999994, 'e': 0.2999999999999994}",20,2,17.601369590783435,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.27499999999999936, 'e': 0.27499999999999936}",25,15,19.250635726794382,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.24999999999999936, 'e': 0.24999999999999936}",20,5,14.3017806667569,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.22499999999999937, 'e': 0.22499999999999937}",20,10,14.197910812283595,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.19999999999999937, 'e': 0.19999999999999937}",25,14,15.702858484967042,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.17499999999999938, 'e': 0.17499999999999938}",20,8,-3.6311498907472575,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
34,False,"{'a': 0.14999999999999938, 'e': 0.14999999999999938}",25,17,11.968749846919252,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.12499999999999939, 'e': 0.12499999999999939}",20,8,0.9462227125553009,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
36,False,"{'a': 0.0999999999999994, 'e': 0.0999999999999994}",30,18,21.61558719646085,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.0749999999999994, 'e': 0.0749999999999994}",25,8,24.88465909856375,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.0499999999999994, 'e': 0.0499999999999994}",20,4,18.79888866433818,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.024999999999999398, 'e': 0.024999999999999398}",30,18,23.659727829828938,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': -6.036837696399289e-16, 'e': -6.036837696399289e-16}",30,16,21.792682105992757,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,14,9.500258921178661,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,17,35.07288879914275,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,21,15.510613391308876,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,18,15.401098257042241,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,11,27.502876533604763,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,24,20.178381956694846,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,14,20.305108185746807,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,17,32.35258047331353,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,15,19.923220698616106,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,8,12.738638133461754,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
