trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.70291363898286,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.96435274282575,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.84721950912393,"{0: 11, 1: 4, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-95.87513263560086,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.7611333222234,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,5,-153.17090435945377,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 3}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.90246732280929,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,2,-129.07348285735858,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.8624854101752,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,6,-134.62670261826057,"{0: 9, 1: 5, 2: 2, 3: 1, 4: 2}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.5047582028328,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-122.65221050933516,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.62622097989208,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.33000630251662,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,14,-51.02662736036919,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,8,-34.90532639907564,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.91204264408287,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-135.11898279693128,"{0: 18, 1: 1, 2: 10, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.003214123397186,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-200.27357582971624,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-55.53688159871575,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-166.10794390416382,"{0: 11, 1: 6, 2: 5, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-147.19737985488743,"{0: 15, 1: 2, 2: 12, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.06285846356592,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-87.0064384613166,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-126.99559696409108,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-243.67988526149077,"{0: 7, 1: 0, 2: 9, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-156.78272591459444,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-161.87275570307108,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,13,-8.326208331683247,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
